,filename,year,month,day,hour,minute,lng,lat,alt,camera,width,height,frames,fps,time,mean_brightness,class,datetime
46,M20251005_190131_MasLaRoca_NE,2025,1,5,19,1,2.19,41.56,570.0,NE,720.0,576.0,625.0,25.0,22.56,92.56896551724138,,2025-01-05 19:01:00
47,M20251005_191928_MasLaRoca_NE,2025,19,5,19,19,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,45.47368421052632,,
48,M20251005_231636_MasLaRoca_NE,2025,16,5,23,16,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,92.0,,
49,M20251006_024841_MasLaRoca_NE,2025,48,6,2,48,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.24,94.14285714285714,,
50,M20251006_042222_MasLaRoca_NE,2025,22,6,4,22,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,41.66666666666666,,
51,M20251006_044331_MasLaRoca_NE,2025,43,6,4,43,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,43.25,,
52,M20251004_185533_MasLaRoca_NE,2025,55,4,18,55,2.19,41.56,570.0,NE,720.0,576.0,72.0,25.0,0.44,54.61290322580645,,
53,M20251004_194141_MasLaRoca_NE,2025,41,4,19,41,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.24,60.71428571428572,,
54,M20251004_220932_MasLaRoca_NE,2025,9,4,22,9,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,75.77777777777777,,2025-09-04 22:09:00
55,M20251005_012407_MasLaRoca_NE,2025,24,5,1,24,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,69.0,,
56,M20251005_053721_MasLaRoca_NE,2025,37,5,5,37,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,50.875,,
57,M20251005_194202_MasLaRoca_NE,2025,42,5,19,42,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,92.0,,
58,M20251005_202430_MasLaRoca_NE,2025,24,5,20,24,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,55.5,,
59,M20251005_223417_MasLaRoca_NE,2025,34,5,22,34,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,102.5,,
60,M20251006_033924_MasLaRoca_NE,2025,39,6,3,39,2.19,41.56,570.0,NE,720.0,576.0,68.0,25.0,0.28,44.125,,
61,M20251006_044810_MasLaRoca_NE,2025,48,6,4,48,2.19,41.56,570.0,NE,720.0,576.0,71.0,25.0,0.4,52.71428571428572,,
62,M20251004_180235_MasLaRoca_NE,2025,2,4,18,2,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.24,23.25,,2025-02-04 18:02:00
63,M20251004_191535_MasLaRoca_NE,2025,15,4,19,15,2.19,41.56,570.0,NE,720.0,576.0,76.0,25.0,0.6,65.1875,,
64,M20251004_203430_MasLaRoca_NE,2025,34,4,20,34,2.19,41.56,570.0,NE,720.0,576.0,70.0,25.0,0.36,65.0,,
65,M20251004_210153_MasLaRoca_NE,2025,1,4,21,1,2.19,41.56,570.0,NE,720.0,576.0,119.0,25.0,2.32,73.84210526315789,,2025-01-04 21:01:00
66,M20251005_001801_MasLaRoca_NE,2025,18,5,0,18,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,93.5,,
67,M20251005_041709_MasLaRoca_NE,2025,17,5,4,17,2.19,41.56,570.0,NE,720.0,576.0,70.0,25.0,0.36,128.75,,
68,M20251005_044407_MasLaRoca_NE,2025,44,5,4,44,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,135.5,,
69,M20251005_172850_MasLaRoca_NE,2025,28,5,17,28,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,11.25,,
70,M20251005_180722_MasLaRoca_NE,2025,7,5,18,7,2.19,41.56,570.0,NE,720.0,576.0,130.0,25.0,2.76,49.23076923076923,,2025-07-05 18:07:00
71,M20251005_182204_MasLaRoca_NE,2025,22,5,18,22,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,38.0,,
72,M20251005_185121_MasLaRoca_NE,2025,51,5,18,51,2.19,41.56,570.0,NE,720.0,576.0,70.0,25.0,0.4,55.72727272727273,,
73,M20251005_225057_MasLaRoca_NE,2025,50,5,22,50,2.19,41.56,570.0,NE,720.0,576.0,108.0,25.0,1.92,121.8409090909091,,
74,M20251006_023056_MasLaRoca_NE,2025,30,6,2,30,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,108.5,,
75,M20251006_030300_MasLaRoca_NE,2025,3,6,3,3,2.19,41.56,570.0,NE,720.0,576.0,65.0,25.0,0.16,69.2,,2025-03-06 03:03:00
76,M20251006_030453_MasLaRoca_NE,2025,4,6,3,4,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,53.0,,2025-04-06 03:04:00
77,M20251006_033851_MasLaRoca_NE,2025,38,6,3,38,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,53.5,,
78,M20251006_040521_MasLaRoca_NE,2025,5,6,4,5,2.19,41.56,570.0,NE,720.0,576.0,72.0,25.0,0.44,54.66666666666666,,2025-05-06 04:05:00
79,M20251005_050753_MasLaRoca_NE,2025,7,5,5,7,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.28,56.142857142857146,,2025-07-05 05:07:00
80,M20251004_190059_MasLaRoca_NE,2025,0,4,19,0,2.19,41.56,570.0,NE,720.0,576.0,154.0,25.0,3.72,60.921875,,
81,M20251004_190508_MasLaRoca_NE,2025,5,4,19,5,2.19,41.56,570.0,NE,720.0,576.0,159.0,25.0,3.96,56.54237288135593,,2025-05-04 19:05:00
82,M20251004_190928_MasLaRoca_NE,2025,9,4,19,9,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.36,44.083333333333336,,2025-09-04 19:09:00
83,M20251004_215931_MasLaRoca_NE,2025,59,4,21,59,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,67.0,,
84,M20251005_013438_MasLaRoca_NE,2025,34,5,1,34,2.19,41.56,570.0,NE,720.0,576.0,87.0,25.0,1.08,76.9,,
85,M20251005_194322_MasLaRoca_NE,2025,43,5,19,43,2.19,41.56,570.0,NE,720.0,576.0,73.0,25.0,0.48,82.8125,,
86,M20251005_203138_MasLaRoca_NE,2025,31,5,20,31,2.19,41.56,570.0,NE,720.0,576.0,66.0,25.0,0.2,54.833333333333336,,
87,M20251006_035556_MasLaRoca_NE,2025,55,6,3,55,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,151.0,,
88,M20251006_191740_MasLaRoca_NE,2025,17,6,19,17,2.19,41.56,570.0,NE,720.0,576.0,70.0,25.0,0.36,48.125,,
89,M20251006_223013_MasLaRoca_NE,2025,30,6,22,30,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,78.0,,
90,M20251006_224601_MasLaRoca_NE,2025,46,6,22,46,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,142.5,,
91,M20251007_012356_MasLaRoca_NE,2025,23,7,1,23,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,55.5,,
92,M20251007_014950_MasLaRoca_NE,2025,49,7,1,49,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,63.66666666666666,,
93,M20251007_023432_MasLaRoca_NE,2025,34,7,2,34,2.19,41.56,570.0,NE,720.0,576.0,66.0,25.0,0.2,54.833333333333336,,
94,M20251006_175746_MasLaRoca_NE,2025,57,6,17,57,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,17.0,,
95,M20251006_183500_MasLaRoca_NE,2025,35,6,18,35,2.19,41.56,570.0,NE,720.0,576.0,73.0,25.0,0.48,75.0,,
96,M20251006_185413_MasLaRoca_NE,2025,54,6,18,54,2.19,41.56,570.0,NE,720.0,576.0,142.0,25.0,3.24,101.44444444444444,,
97,M20251006_190408_MasLaRoca_NE,2025,4,6,19,4,2.19,41.56,570.0,NE,720.0,576.0,75.0,25.0,0.56,46.0,,2025-04-06 19:04:00
98,M20251006_200732_MasLaRoca_NE,2025,7,6,20,7,2.19,41.56,570.0,NE,720.0,576.0,72.0,25.0,0.44,51.22727272727273,,2025-07-06 20:07:00
99,M20251006_205343_MasLaRoca_NE,2025,53,6,20,53,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,50.25,,
100,M20251007_031232_MasLaRoca_NE,2025,12,7,3,12,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,91.0,,2025-12-07 03:12:00
101,M20251007_035145_MasLaRoca_NE,2025,51,7,3,51,2.19,41.56,570.0,NE,720.0,576.0,65.0,25.0,0.16,61.6,,
102,M20251006_175527_MasLaRoca_NE,2025,55,6,17,55,2.19,41.56,570.0,NE,720.0,576.0,61.0,25.0,0.04,48.0,,
103,M20251006_183240_MasLaRoca_NE,2025,32,6,18,32,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,44.5,,
104,M20251007_000545_MasLaRoca_NE,2025,5,7,0,5,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,81.0,,2025-05-07 00:05:00
105,M20251007_020645_MasLaRoca_NE,2025,6,7,2,6,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,167.66666666666666,,2025-06-07 02:06:00
106,M20251006_175934_MasLaRoca_NE,2025,59,6,17,59,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.24,19.22222222222222,,
107,M20251006_215916_MasLaRoca_NE,2025,59,6,21,59,2.19,41.56,570.0,NE,720.0,576.0,80.0,25.0,0.76,140.7,,
108,M20251006_231546_MasLaRoca_NE,2025,15,6,23,15,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.08,59.5,,
109,M20251006_233312_MasLaRoca_NE,2025,33,6,23,33,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,149.5,,
110,M20251006_175737_MasLaRoca_NE,2025,57,6,17,57,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.08,26.0,,
111,M20251006_181233_MasLaRoca_NE,2025,12,6,18,12,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.16,52.84615384615385,,2025-12-06 18:12:00
112,M20251006_182751_MasLaRoca_NE,2025,27,6,18,27,2.19,41.56,570.0,NE,720.0,576.0,70.0,25.0,0.36,84.71052631578948,,
113,M20251006_182903_MasLaRoca_NE,2025,29,6,18,29,2.19,41.56,570.0,NE,720.0,576.0,75.0,25.0,0.6,65.44444444444444,,
114,M20251006_204913_MasLaRoca_NE,2025,49,6,20,49,2.19,41.56,570.0,NE,720.0,576.0,86.0,25.0,1.0,58.1,,
115,M20251006_231612_MasLaRoca_NE,2025,16,6,23,16,2.19,41.56,570.0,NE,720.0,576.0,108.0,25.0,1.92,92.8102564102564,,
116,M20251006_232535_MasLaRoca_NE,2025,25,6,23,25,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,153.33333333333334,,
117,M20251007_011133_MasLaRoca_NE,2025,11,7,1,11,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,61.5,,2025-11-07 01:11:00
118,M20251006_183014_MasLaRoca_NE,2025,30,6,18,30,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.24,61.0,,
119,M20251006_231542_MasLaRoca_NE,2025,15,6,23,15,2.19,41.56,570.0,NE,720.0,576.0,61.0,25.0,0.04,99.0,,
120,M20251006_233014_MasLaRoca_NE,2025,30,6,23,30,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,123.5,,
121,M20251006_190844_MasLaRoca_NE,2025,8,6,19,8,2.19,41.56,570.0,NE,720.0,576.0,73.0,25.0,0.48,68.85714285714286,,2025-08-06 19:08:00
122,M20251006_194820_MasLaRoca_NE,2025,48,6,19,48,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,89.5,,
123,M20251006_195306_MasLaRoca_NE,2025,53,6,19,53,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,82.0,,
124,M20251006_212628_MasLaRoca_NE,2025,26,6,21,26,2.19,41.56,570.0,NE,720.0,576.0,68.0,25.0,0.28,124.625,,
125,M20251006_214953_MasLaRoca_NE,2025,49,6,21,49,2.19,41.56,570.0,NE,720.0,576.0,87.0,25.0,1.04,44.41666666666666,,
126,M20251007_025522_MasLaRoca_NE,2025,55,7,2,55,2.19,41.56,570.0,NE,720.0,576.0,66.0,25.0,0.2,68.0,,
127,M20251007_033456_MasLaRoca_NE,2025,34,7,3,34,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,58.0,,
128,M20251006_185322_MasLaRoca_NE,2025,53,6,18,53,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,184.5,,
129,M20251006_194646_MasLaRoca_NE,2025,46,6,19,46,2.19,41.56,570.0,NE,720.0,576.0,147.0,25.0,3.44,51.8125,,
130,M20251006_201416_MasLaRoca_NE,2025,14,6,20,14,2.19,41.56,570.0,NE,720.0,576.0,126.0,25.0,2.6,139.8,,
131,M20251006_213325_MasLaRoca_NE,2025,33,6,21,33,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,80.66666666666667,,
132,M20251006_223251_MasLaRoca_NE,2025,32,6,22,32,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,42.5,,
133,M20251006_231601_MasLaRoca_NE,2025,16,6,23,16,2.19,41.56,570.0,NE,720.0,576.0,146.0,25.0,1.96,98.51351351351352,,
134,M20251007_025219_MasLaRoca_NE,2025,52,7,2,52,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,49.5,,
135,M20251007_035031_MasLaRoca_NE,2025,50,7,3,50,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,60.66666666666666,,
136,M20251007_185416_MasLaRoca_NE,2025,54,7,18,54,2.19,41.56,570.0,NE,720.0,576.0,139.0,25.0,3.12,108.93333333333334,,
137,M20251007_210003_MasLaRoca_NE,2025,0,7,21,0,2.19,41.56,570.0,NE,720.0,576.0,65.0,25.0,0.16,46.5,,
138,M20251008_023319_MasLaRoca_NE,2025,33,8,2,33,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,108.33333333333331,,
139,M20251007_221336_MasLaRoca_NE,2025,13,7,22,13,2.19,41.56,570.0,NE,720.0,576.0,95.0,25.0,1.4,108.53488372093024,,
140,M20251007_182256_MasLaRoca_NE,2025,22,7,18,22,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.24,73.71428571428571,,
141,M20251007_183907_MasLaRoca_NE,2025,39,7,18,39,2.19,41.56,570.0,NE,720.0,576.0,66.0,25.0,0.24,52.526315789473685,,
142,M20251008_014715_MasLaRoca_NE,2025,47,8,1,47,2.19,41.56,570.0,NE,720.0,576.0,73.0,25.0,0.48,165.53846153846155,,
143,M20251008_032355_MasLaRoca_NE,2025,23,8,3,23,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,41.66666666666666,,
144,M20251008_033014_MasLaRoca_NE,2025,30,8,3,30,2.19,41.56,570.0,NE,720.0,576.0,70.0,25.0,0.36,85.4,,
145,M20251007_185239_MasLaRoca_NE,2025,52,7,18,52,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,82.5,,
146,M20251007_211911_MasLaRoca_NE,2025,19,7,21,19,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,51.0,,
147,M20251007_180814_MasLaRoca_NE,2025,8,7,18,8,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,63.5,,2025-08-07 18:08:00
148,M20251007_195549_MasLaRoca_NE,2025,55,7,19,55,2.19,41.56,570.0,NE,720.0,576.0,151.0,25.0,3.36,80.42666666666666,,
149,M20251007_200521_MasLaRoca_NE,2025,5,7,20,5,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,63.8,,2025-05-07 20:05:00
150,M20251007_192747_MasLaRoca_NE,2025,27,7,19,27,2.19,41.56,570.0,NE,720.0,576.0,79.0,25.0,0.76,64.83333333333333,,
151,M20251008_023818_MasLaRoca_NE,2025,38,8,2,38,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,82.64285714285714,,
152,M20251008_034508_MasLaRoca_NE,2025,45,8,3,45,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,123.0,,
153,M20251007_182439_MasLaRoca_NE,2025,24,7,18,24,2.19,41.56,570.0,NE,720.0,576.0,65.0,25.0,0.16,45.42857142857143,,
154,M20251007_183551_MasLaRoca_NE,2025,35,7,18,35,2.19,41.56,570.0,NE,720.0,576.0,73.0,25.0,0.48,90.77777777777776,,
155,M20251007_194223_MasLaRoca_NE,2025,42,7,19,42,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,102.66666666666669,,
156,M20251008_040514_MasLaRoca_NE,2025,5,8,4,5,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,104.0,,2025-05-08 04:05:00
157,M20251007_201452_MasLaRoca_NE,2025,14,7,20,14,2.19,41.56,570.0,NE,720.0,576.0,65.0,25.0,0.16,48.2,,
158,M20251007_202659_MasLaRoca_NE,2025,26,7,20,26,2.19,41.56,570.0,NE,720.0,576.0,66.0,25.0,0.2,109.125,,
159,M20251008_020401_MasLaRoca_NE,2025,4,8,2,4,2.19,41.56,570.0,NE,720.0,576.0,117.0,25.0,2.24,101.14285714285714,,2025-04-08 02:04:00
160,M20251007_194040_MasLaRoca_NE,2025,40,7,19,40,2.19,41.56,570.0,NE,720.0,576.0,66.0,25.0,0.2,51.53333333333333,,
161,M20251007_214415_MasLaRoca_NE,2025,44,7,21,44,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,99.4,,
162,M20251007_183853_MasLaRoca_NE,2025,38,7,18,38,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,78.0,,
163,M20251008_023057_MasLaRoca_NE,2025,30,8,2,30,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,78.75,,
164,M20251007_210542_MasLaRoca_NE,2025,5,7,21,5,2.19,41.56,570.0,NE,720.0,576.0,69.0,25.0,0.32,71.11111111111111,,2025-05-07 21:05:00
165,M20251008_025953_MasLaRoca_NE,2025,59,8,2,59,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,156.5,,
166,M20251008_033308_MasLaRoca_NE,2025,33,8,3,33,2.19,41.56,570.0,NE,720.0,576.0,64.0,25.0,0.12,83.0,,
167,M20251007_175928_MasLaRoca_NE,2025,59,7,17,59,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,19.5,,
168,M20251007_192620_MasLaRoca_NE,2025,26,7,19,26,2.19,41.56,570.0,NE,720.0,576.0,72.0,25.0,0.44,66.08333333333333,,
169,M20251007_203108_MasLaRoca_NE,2025,31,7,20,31,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,92.5,,
170,M20251007_185338_MasLaRoca_NE,2025,53,7,18,53,2.19,41.56,570.0,NE,720.0,576.0,67.0,25.0,0.24,87.57142857142857,,
171,M20251008_020144_MasLaRoca_NE,2025,1,8,2,1,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,128.5,,2025-01-08 02:01:00
172,M20251007_192827_MasLaRoca_NE,2025,28,7,19,28,2.19,41.56,570.0,NE,720.0,576.0,74.0,25.0,0.56,62.5,,
173,M20251008_023440_MasLaRoca_NE,2025,34,8,2,34,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,49.333333333333336,,
174,M20251007_222602_MasLaRoca_NE,2025,26,7,22,26,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,161.0,,
175,M20251008_032448_MasLaRoca_NE,2025,24,8,3,24,2.19,41.56,570.0,NE,720.0,576.0,63.0,25.0,0.08,47.66666666666666,,
176,M20251008_035418_MasLaRoca_NE,2025,54,8,3,54,2.19,41.56,570.0,NE,720.0,576.0,92.0,25.0,1.24,73.75,,
177,M20251008_190330_MasLaRoca_NE,2025,3,8,19,3,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.08,58.8,,2025-03-08 19:03:00
178,M20251009_030832_MasLaRoca_NE,2025,8,9,3,8,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,87.0,,2025-08-09 03:08:00
179,M20251009_040542_MasLaRoca_NE,2025,5,9,4,5,2.19,41.56,570.0,NE,720.0,576.0,62.0,25.0,0.04,120.5,,2025-05-09 04:05:00
