filename;year;month;day;hour;minute;lng;lat;alt;camera;width;height;frames;fps;time;mean_brightness;class
M20251005_182120_MasLaRoca_NE;2025.0;21.0;5.0;18.0;21.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;66.77777777777777;
M20251005_183316_MasLaRoca_NE;2025.0;33.0;5.0;18.0;33.0;2.19;41.56;570.0;NE;720.0;576.0;65.0;25.0;0.16;42.5;
M20251005_185732_MasLaRoca_NE;2025.0;57.0;5.0;18.0;57.0;2.19;41.56;570.0;NE;720.0;576.0;68.0;25.0;0.28;57.75;
M20251005_210932_MasLaRoca_NE;2025.0;9.0;5.0;21.0;9.0;2.19;41.56;570.0;NE;720.0;576.0;608.0;25.0;21.88;56.05;
M20251005_211229_MasLaRoca_NE;2025.0;12.0;5.0;21.0;12.0;2.19;41.56;570.0;NE;720.0;576.0;471.0;25.0;16.4;164.66315789473686;
M20251006_021719_MasLaRoca_NE;2025.0;17.0;6.0;2.0;17.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;71.5;
M20251006_040324_MasLaRoca_NE;2025.0;3.0;6.0;4.0;3.0;2.19;41.56;570.0;NE;720.0;576.0;63.0;25.0;0.08;52.333333333333336;
M20251006_041646_MasLaRoca_NE;2025.0;16.0;6.0;4.0;16.0;2.19;41.56;570.0;NE;720.0;576.0;128.0;25.0;2.68;54.98333333333333;
M20251004_221051_MasLaRoca_NE;2025.0;10.0;4.0;22.0;10.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;48.0;
M20251005_041033_MasLaRoca_NE;2025.0;10.0;5.0;4.0;10.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;72.5;
M20251005_185159_MasLaRoca_NE;2025.0;51.0;5.0;18.0;51.0;2.19;41.56;570.0;NE;720.0;576.0;63.0;25.0;0.12;51.16666666666666;
M20251005_193258_MasLaRoca_NE;2025.0;32.0;5.0;19.0;32.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;139.0;
M20251005_224920_MasLaRoca_NE;2025.0;49.0;5.0;22.0;49.0;2.19;41.56;570.0;NE;720.0;576.0;201.0;25.0;5.6;96.91071428571428;
M20251006_023129_MasLaRoca_NE;2025.0;31.0;6.0;2.0;31.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;114.0;
M20251006_024539_MasLaRoca_NE;2025.0;45.0;6.0;2.0;45.0;2.19;41.56;570.0;NE;720.0;576.0;70.0;25.0;0.36;43.0;
M20251006_025430_MasLaRoca_NE;2025.0;54.0;6.0;2.0;54.0;2.19;41.56;570.0;NE;720.0;576.0;66.0;25.0;0.2;96.44444444444444;
M20251006_033310_MasLaRoca_NE;2025.0;33.0;6.0;3.0;33.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;104.0;
M20251006_035634_MasLaRoca_NE;2025.0;56.0;6.0;3.0;56.0;2.19;41.56;570.0;NE;720.0;576.0;71.0;25.0;0.4;40.25;
M20251004_182847_MasLaRoca_NE;2025.0;28.0;4.0;18.0;28.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;83.2;
M20251004_183532_MasLaRoca_NE;2025.0;35.0;4.0;18.0;35.0;2.19;41.56;570.0;NE;720.0;576.0;110.0;25.0;1.96;103.0;
M20251004_215647_MasLaRoca_NE;2025.0;56.0;4.0;21.0;56.0;2.19;41.56;570.0;NE;720.0;576.0;98.0;25.0;1.52;52.44444444444444;
M20251005_045949_MasLaRoca_NE;2025.0;59.0;5.0;4.0;59.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;99.0;
M20251005_175437_MasLaRoca_NE;2025.0;54.0;5.0;17.0;54.0;2.19;41.56;570.0;NE;720.0;576.0;71.0;25.0;0.4;23.58333333333333;
M20251005_194452_MasLaRoca_NE;2025.0;44.0;5.0;19.0;44.0;2.19;41.56;570.0;NE;720.0;576.0;89.0;25.0;1.16;44.583333333333336;
M20251005_195345_MasLaRoca_NE;2025.0;53.0;5.0;19.0;53.0;2.19;41.56;570.0;NE;720.0;576.0;82.0;25.0;0.84;77.0952380952381;
M20251005_202418_MasLaRoca_NE;2025.0;24.0;5.0;20.0;24.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;152.5;
M20251006_030112_MasLaRoca_NE;2025.0;1.0;6.0;3.0;1.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;91.66666666666669;
M20251006_034017_MasLaRoca_NE;2025.0;40.0;6.0;3.0;40.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;48.0;
M20251006_045021_MasLaRoca_NE;2025.0;50.0;6.0;4.0;50.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;43.0;
M20251005_040306_MasLaRoca_NE;2025.0;3.0;5.0;4.0;3.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;84.5;
M20251005_044633_MasLaRoca_NE;2025.0;46.0;5.0;4.0;46.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;47.5;
M20251005_185800_MasLaRoca_NE;2025.0;58.0;5.0;18.0;58.0;2.19;41.56;570.0;NE;720.0;576.0;474.0;25.0;16.52;169.20238095238096;
M20251005_190131_MasLaRoca_NE;2025.0;1.0;5.0;19.0;1.0;2.19;41.56;570.0;NE;720.0;576.0;625.0;25.0;22.56;92.56896551724138;
M20251005_191928_MasLaRoca_NE;2025.0;19.0;5.0;19.0;19.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;45.47368421052632;
M20251005_231636_MasLaRoca_NE;2025.0;16.0;5.0;23.0;16.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;92.0;
M20251006_024841_MasLaRoca_NE;2025.0;48.0;6.0;2.0;48.0;2.19;41.56;570.0;NE;720.0;576.0;67.0;25.0;0.24;94.14285714285714;
M20251006_042222_MasLaRoca_NE;2025.0;22.0;6.0;4.0;22.0;2.19;41.56;570.0;NE;720.0;576.0;63.0;25.0;0.08;41.66666666666666;
M20251006_044331_MasLaRoca_NE;2025.0;43.0;6.0;4.0;43.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;43.25;
M20251004_185533_MasLaRoca_NE;2025.0;55.0;4.0;18.0;55.0;2.19;41.56;570.0;NE;720.0;576.0;72.0;25.0;0.44;54.61290322580645;
M20251004_194141_MasLaRoca_NE;2025.0;41.0;4.0;19.0;41.0;2.19;41.56;570.0;NE;720.0;576.0;67.0;25.0;0.24;60.71428571428572;
M20251004_220932_MasLaRoca_NE;2025.0;9.0;4.0;22.0;9.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;75.77777777777777;
M20251005_012407_MasLaRoca_NE;2025.0;24.0;5.0;1.0;24.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;69.0;
M20251005_053721_MasLaRoca_NE;2025.0;37.0;5.0;5.0;37.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;50.875;
M20251005_194202_MasLaRoca_NE;2025.0;42.0;5.0;19.0;42.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;92.0;
M20251005_202430_MasLaRoca_NE;2025.0;24.0;5.0;20.0;24.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;55.5;
M20251005_223417_MasLaRoca_NE;2025.0;34.0;5.0;22.0;34.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;102.5;
M20251006_033924_MasLaRoca_NE;2025.0;39.0;6.0;3.0;39.0;2.19;41.56;570.0;NE;720.0;576.0;68.0;25.0;0.28;44.125;
M20251006_044810_MasLaRoca_NE;2025.0;48.0;6.0;4.0;48.0;2.19;41.56;570.0;NE;720.0;576.0;71.0;25.0;0.4;52.71428571428572;
M20251004_180235_MasLaRoca_NE;2025.0;2.0;4.0;18.0;2.0;2.19;41.56;570.0;NE;720.0;576.0;67.0;25.0;0.24;23.25;
M20251004_191535_MasLaRoca_NE;2025.0;15.0;4.0;19.0;15.0;2.19;41.56;570.0;NE;720.0;576.0;76.0;25.0;0.6;65.1875;
M20251004_203430_MasLaRoca_NE;2025.0;34.0;4.0;20.0;34.0;2.19;41.56;570.0;NE;720.0;576.0;70.0;25.0;0.36;65.0;
M20251004_210153_MasLaRoca_NE;2025.0;1.0;4.0;21.0;1.0;2.19;41.56;570.0;NE;720.0;576.0;119.0;25.0;2.32;73.84210526315789;
M20251005_001801_MasLaRoca_NE;2025.0;18.0;5.0;0.0;18.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;93.5;
M20251005_041709_MasLaRoca_NE;2025.0;17.0;5.0;4.0;17.0;2.19;41.56;570.0;NE;720.0;576.0;70.0;25.0;0.36;128.75;
M20251005_044407_MasLaRoca_NE;2025.0;44.0;5.0;4.0;44.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;135.5;
M20251005_172850_MasLaRoca_NE;2025.0;28.0;5.0;17.0;28.0;2.19;41.56;570.0;NE;720.0;576.0;63.0;25.0;0.08;11.25;
M20251005_180722_MasLaRoca_NE;2025.0;7.0;5.0;18.0;7.0;2.19;41.56;570.0;NE;720.0;576.0;130.0;25.0;2.76;49.23076923076923;
M20251005_182204_MasLaRoca_NE;2025.0;22.0;5.0;18.0;22.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;38.0;
M20251005_185121_MasLaRoca_NE;2025.0;51.0;5.0;18.0;51.0;2.19;41.56;570.0;NE;720.0;576.0;70.0;25.0;0.4;55.72727272727273;
M20251005_225057_MasLaRoca_NE;2025.0;50.0;5.0;22.0;50.0;2.19;41.56;570.0;NE;720.0;576.0;108.0;25.0;1.92;121.8409090909091;
M20251006_023056_MasLaRoca_NE;2025.0;30.0;6.0;2.0;30.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;108.5;
M20251006_030300_MasLaRoca_NE;2025.0;3.0;6.0;3.0;3.0;2.19;41.56;570.0;NE;720.0;576.0;65.0;25.0;0.16;69.2;
M20251006_030453_MasLaRoca_NE;2025.0;4.0;6.0;3.0;4.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;53.0;
M20251006_033851_MasLaRoca_NE;2025.0;38.0;6.0;3.0;38.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;53.5;
M20251006_040521_MasLaRoca_NE;2025.0;5.0;6.0;4.0;5.0;2.19;41.56;570.0;NE;720.0;576.0;72.0;25.0;0.44;54.66666666666666;
M20251005_050753_MasLaRoca_NE;2025.0;7.0;5.0;5.0;7.0;2.19;41.56;570.0;NE;720.0;576.0;67.0;25.0;0.28;56.142857142857146;
M20251004_190059_MasLaRoca_NE;2025.0;0.0;4.0;19.0;0.0;2.19;41.56;570.0;NE;720.0;576.0;154.0;25.0;3.72;60.921875;
M20251004_190508_MasLaRoca_NE;2025.0;5.0;4.0;19.0;5.0;2.19;41.56;570.0;NE;720.0;576.0;159.0;25.0;3.96;56.54237288135593;
M20251004_190928_MasLaRoca_NE;2025.0;9.0;4.0;19.0;9.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.36;44.083333333333336;
M20251004_215931_MasLaRoca_NE;2025.0;59.0;4.0;21.0;59.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;67.0;
M20251005_013438_MasLaRoca_NE;2025.0;34.0;5.0;1.0;34.0;2.19;41.56;570.0;NE;720.0;576.0;87.0;25.0;1.08;76.9;
M20251005_194322_MasLaRoca_NE;2025.0;43.0;5.0;19.0;43.0;2.19;41.56;570.0;NE;720.0;576.0;73.0;25.0;0.48;82.8125;
M20251005_203138_MasLaRoca_NE;2025.0;31.0;5.0;20.0;31.0;2.19;41.56;570.0;NE;720.0;576.0;66.0;25.0;0.2;54.833333333333336;
M20251006_035556_MasLaRoca_NE;2025.0;55.0;6.0;3.0;55.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;151.0;
M20251006_191740_MasLaRoca_NE;2025.0;17.0;6.0;19.0;17.0;2.19;41.56;570.0;NE;720.0;576.0;70.0;25.0;0.36;48.125;
M20251006_223013_MasLaRoca_NE;2025.0;30.0;6.0;22.0;30.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;78.0;
M20251006_224601_MasLaRoca_NE;2025.0;46.0;6.0;22.0;46.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;142.5;
M20251007_012356_MasLaRoca_NE;2025.0;23.0;7.0;1.0;23.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;55.5;
M20251007_014950_MasLaRoca_NE;2025.0;49.0;7.0;1.0;49.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;63.66666666666666;
M20251007_023432_MasLaRoca_NE;2025.0;34.0;7.0;2.0;34.0;2.19;41.56;570.0;NE;720.0;576.0;66.0;25.0;0.2;54.833333333333336;
M20251006_175746_MasLaRoca_NE;2025.0;57.0;6.0;17.0;57.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;17.0;
M20251006_183500_MasLaRoca_NE;2025.0;35.0;6.0;18.0;35.0;2.19;41.56;570.0;NE;720.0;576.0;73.0;25.0;0.48;75.0;
M20251006_185413_MasLaRoca_NE;2025.0;54.0;6.0;18.0;54.0;2.19;41.56;570.0;NE;720.0;576.0;142.0;25.0;3.24;101.44444444444444;
M20251006_190408_MasLaRoca_NE;2025.0;4.0;6.0;19.0;4.0;2.19;41.56;570.0;NE;720.0;576.0;75.0;25.0;0.56;46.0;
M20251006_200732_MasLaRoca_NE;2025.0;7.0;6.0;20.0;7.0;2.19;41.56;570.0;NE;720.0;576.0;72.0;25.0;0.44;51.22727272727273;
M20251006_205343_MasLaRoca_NE;2025.0;53.0;6.0;20.0;53.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;50.25;
M20251007_031232_MasLaRoca_NE;2025.0;12.0;7.0;3.0;12.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;91.0;
M20251007_035145_MasLaRoca_NE;2025.0;51.0;7.0;3.0;51.0;2.19;41.56;570.0;NE;720.0;576.0;65.0;25.0;0.16;61.6;
M20251006_175527_MasLaRoca_NE;2025.0;55.0;6.0;17.0;55.0;2.19;41.56;570.0;NE;720.0;576.0;61.0;25.0;0.04;48.0;
M20251006_183240_MasLaRoca_NE;2025.0;32.0;6.0;18.0;32.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;44.5;
M20251007_000545_MasLaRoca_NE;2025.0;5.0;7.0;0.0;5.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;81.0;
M20251007_020645_MasLaRoca_NE;2025.0;6.0;7.0;2.0;6.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;167.66666666666666;
M20251006_175934_MasLaRoca_NE;2025.0;59.0;6.0;17.0;59.0;2.19;41.56;570.0;NE;720.0;576.0;67.0;25.0;0.24;19.22222222222222;
M20251006_215916_MasLaRoca_NE;2025.0;59.0;6.0;21.0;59.0;2.19;41.56;570.0;NE;720.0;576.0;80.0;25.0;0.76;140.7;
M20251006_231546_MasLaRoca_NE;2025.0;15.0;6.0;23.0;15.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.08;59.5;
M20251006_233312_MasLaRoca_NE;2025.0;33.0;6.0;23.0;33.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;149.5;
M20251006_175737_MasLaRoca_NE;2025.0;57.0;6.0;17.0;57.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.08;26.0;
M20251006_181233_MasLaRoca_NE;2025.0;12.0;6.0;18.0;12.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.16;52.84615384615385;
M20251006_182751_MasLaRoca_NE;2025.0;27.0;6.0;18.0;27.0;2.19;41.56;570.0;NE;720.0;576.0;70.0;25.0;0.36;84.71052631578948;
M20251006_182903_MasLaRoca_NE;2025.0;29.0;6.0;18.0;29.0;2.19;41.56;570.0;NE;720.0;576.0;75.0;25.0;0.6;65.44444444444444;
M20251006_204913_MasLaRoca_NE;2025.0;49.0;6.0;20.0;49.0;2.19;41.56;570.0;NE;720.0;576.0;86.0;25.0;1.0;58.1;
M20251006_231612_MasLaRoca_NE;2025.0;16.0;6.0;23.0;16.0;2.19;41.56;570.0;NE;720.0;576.0;108.0;25.0;1.92;92.8102564102564;
M20251006_232535_MasLaRoca_NE;2025.0;25.0;6.0;23.0;25.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;153.33333333333334;
M20251007_011133_MasLaRoca_NE;2025.0;11.0;7.0;1.0;11.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;61.5;
M20251006_183014_MasLaRoca_NE;2025.0;30.0;6.0;18.0;30.0;2.19;41.56;570.0;NE;720.0;576.0;67.0;25.0;0.24;61.0;
M20251006_231542_MasLaRoca_NE;2025.0;15.0;6.0;23.0;15.0;2.19;41.56;570.0;NE;720.0;576.0;61.0;25.0;0.04;99.0;
M20251006_233014_MasLaRoca_NE;2025.0;30.0;6.0;23.0;30.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;123.5;
M20251006_190844_MasLaRoca_NE;2025.0;8.0;6.0;19.0;8.0;2.19;41.56;570.0;NE;720.0;576.0;73.0;25.0;0.48;68.85714285714286;
M20251006_194820_MasLaRoca_NE;2025.0;48.0;6.0;19.0;48.0;2.19;41.56;570.0;NE;720.0;576.0;63.0;25.0;0.08;89.5;
M20251006_195306_MasLaRoca_NE;2025.0;53.0;6.0;19.0;53.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;82.0;
M20251006_212628_MasLaRoca_NE;2025.0;26.0;6.0;21.0;26.0;2.19;41.56;570.0;NE;720.0;576.0;68.0;25.0;0.28;124.625;
M20251006_214953_MasLaRoca_NE;2025.0;49.0;6.0;21.0;49.0;2.19;41.56;570.0;NE;720.0;576.0;87.0;25.0;1.04;44.41666666666666;
M20251007_025522_MasLaRoca_NE;2025.0;55.0;7.0;2.0;55.0;2.19;41.56;570.0;NE;720.0;576.0;66.0;25.0;0.2;68.0;
M20251007_033456_MasLaRoca_NE;2025.0;34.0;7.0;3.0;34.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;58.0;
M20251006_185322_MasLaRoca_NE;2025.0;53.0;6.0;18.0;53.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;184.5;
M20251006_194646_MasLaRoca_NE;2025.0;46.0;6.0;19.0;46.0;2.19;41.56;570.0;NE;720.0;576.0;147.0;25.0;3.44;51.8125;
M20251006_201416_MasLaRoca_NE;2025.0;14.0;6.0;20.0;14.0;2.19;41.56;570.0;NE;720.0;576.0;126.0;25.0;2.6;139.8;
M20251006_213325_MasLaRoca_NE;2025.0;33.0;6.0;21.0;33.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;80.66666666666667;
M20251006_223251_MasLaRoca_NE;2025.0;32.0;6.0;22.0;32.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;42.5;
M20251006_231601_MasLaRoca_NE;2025.0;16.0;6.0;23.0;16.0;2.19;41.56;570.0;NE;720.0;576.0;146.0;25.0;1.96;98.51351351351352;
M20251007_025219_MasLaRoca_NE;2025.0;52.0;7.0;2.0;52.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;49.5;
M20251007_035031_MasLaRoca_NE;2025.0;50.0;7.0;3.0;50.0;2.19;41.56;570.0;NE;720.0;576.0;63.0;25.0;0.08;60.66666666666666;
M20251007_185416_MasLaRoca_NE;2025.0;54.0;7.0;18.0;54.0;2.19;41.56;570.0;NE;720.0;576.0;139.0;25.0;3.12;108.93333333333334;
M20251007_210003_MasLaRoca_NE;2025.0;0.0;7.0;21.0;0.0;2.19;41.56;570.0;NE;720.0;576.0;65.0;25.0;0.16;46.5;
M20251008_023319_MasLaRoca_NE;2025.0;33.0;8.0;2.0;33.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;108.33333333333331;
M20251007_221336_MasLaRoca_NE;2025.0;13.0;7.0;22.0;13.0;2.19;41.56;570.0;NE;720.0;576.0;95.0;25.0;1.4;108.53488372093024;
M20251007_182256_MasLaRoca_NE;2025.0;22.0;7.0;18.0;22.0;2.19;41.56;570.0;NE;720.0;576.0;67.0;25.0;0.24;73.71428571428571;
M20251007_183907_MasLaRoca_NE;2025.0;39.0;7.0;18.0;39.0;2.19;41.56;570.0;NE;720.0;576.0;66.0;25.0;0.24;52.526315789473685;
M20251008_014715_MasLaRoca_NE;2025.0;47.0;8.0;1.0;47.0;2.19;41.56;570.0;NE;720.0;576.0;73.0;25.0;0.48;165.53846153846155;
M20251008_032355_MasLaRoca_NE;2025.0;23.0;8.0;3.0;23.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;41.66666666666666;
M20251008_033014_MasLaRoca_NE;2025.0;30.0;8.0;3.0;30.0;2.19;41.56;570.0;NE;720.0;576.0;70.0;25.0;0.36;85.4;
M20251007_185239_MasLaRoca_NE;2025.0;52.0;7.0;18.0;52.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;82.5;
M20251007_211911_MasLaRoca_NE;2025.0;19.0;7.0;21.0;19.0;2.19;41.56;570.0;NE;720.0;576.0;63.0;25.0;0.08;51.0;
M20251007_180814_MasLaRoca_NE;2025.0;8.0;7.0;18.0;8.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;63.5;
M20251007_195549_MasLaRoca_NE;2025.0;55.0;7.0;19.0;55.0;2.19;41.56;570.0;NE;720.0;576.0;151.0;25.0;3.36;80.42666666666666;
M20251007_200521_MasLaRoca_NE;2025.0;5.0;7.0;20.0;5.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;63.8;
M20251007_192747_MasLaRoca_NE;2025.0;27.0;7.0;19.0;27.0;2.19;41.56;570.0;NE;720.0;576.0;79.0;25.0;0.76;64.83333333333333;
M20251008_023818_MasLaRoca_NE;2025.0;38.0;8.0;2.0;38.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;82.64285714285714;
M20251008_034508_MasLaRoca_NE;2025.0;45.0;8.0;3.0;45.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;123.0;
M20251007_182439_MasLaRoca_NE;2025.0;24.0;7.0;18.0;24.0;2.19;41.56;570.0;NE;720.0;576.0;65.0;25.0;0.16;45.42857142857143;
M20251007_183551_MasLaRoca_NE;2025.0;35.0;7.0;18.0;35.0;2.19;41.56;570.0;NE;720.0;576.0;73.0;25.0;0.48;90.77777777777776;
M20251007_194223_MasLaRoca_NE;2025.0;42.0;7.0;19.0;42.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;102.66666666666669;
M20251008_040514_MasLaRoca_NE;2025.0;5.0;8.0;4.0;5.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;104.0;
M20251007_201452_MasLaRoca_NE;2025.0;14.0;7.0;20.0;14.0;2.19;41.56;570.0;NE;720.0;576.0;65.0;25.0;0.16;48.2;
M20251007_202659_MasLaRoca_NE;2025.0;26.0;7.0;20.0;26.0;2.19;41.56;570.0;NE;720.0;576.0;66.0;25.0;0.2;109.125;
M20251008_020401_MasLaRoca_NE;2025.0;4.0;8.0;2.0;4.0;2.19;41.56;570.0;NE;720.0;576.0;117.0;25.0;2.24;101.14285714285714;
M20251007_194040_MasLaRoca_NE;2025.0;40.0;7.0;19.0;40.0;2.19;41.56;570.0;NE;720.0;576.0;66.0;25.0;0.2;51.53333333333333;
M20251007_214415_MasLaRoca_NE;2025.0;44.0;7.0;21.0;44.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;99.4;
M20251007_183853_MasLaRoca_NE;2025.0;38.0;7.0;18.0;38.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;78.0;
M20251008_023057_MasLaRoca_NE;2025.0;30.0;8.0;2.0;30.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;78.75;
M20251007_210542_MasLaRoca_NE;2025.0;5.0;7.0;21.0;5.0;2.19;41.56;570.0;NE;720.0;576.0;69.0;25.0;0.32;71.11111111111111;
M20251008_025953_MasLaRoca_NE;2025.0;59.0;8.0;2.0;59.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;156.5;
M20251008_033308_MasLaRoca_NE;2025.0;33.0;8.0;3.0;33.0;2.19;41.56;570.0;NE;720.0;576.0;64.0;25.0;0.12;83.0;
M20251007_175928_MasLaRoca_NE;2025.0;59.0;7.0;17.0;59.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;19.5;
M20251007_192620_MasLaRoca_NE;2025.0;26.0;7.0;19.0;26.0;2.19;41.56;570.0;NE;720.0;576.0;72.0;25.0;0.44;66.08333333333333;
M20251007_203108_MasLaRoca_NE;2025.0;31.0;7.0;20.0;31.0;2.19;41.56;570.0;NE;720.0;576.0;62.0;25.0;0.04;92.5;
